,precision,recall,f1-score,support
snoRNA,0.5588235294117647,0.5428571428571428,0.5507246376811593,35.0
rRNA,0.9710144927536232,0.9710144927536232,0.9710144927536232,138.0
snRNA,0.46875,0.6818181818181818,0.5555555555555556,22.0
mRNA,0.9943820224719101,0.9516129032258065,0.9725274725274726,186.0
pre_miRNA,0.5652173913043478,0.78,0.6554621848739495,50.0
miRNA,0.5172413793103449,0.28846153846153844,0.3703703703703704,52.0
tRNA,0.8888888888888888,0.9887640449438202,0.9361702127659574,89.0
tmRNA,1.0,0.9,0.9473684210526316,70.0
accuracy,0.8566978193146417,0.8566978193146417,0.8566978193146417,0.8566978193146417
macro avg,0.7455397130176099,0.7630660380075142,0.7448991684475899,642.0
weighted avg,0.8615185546879338,0.8566978193146417,0.8536682263924982,642.0
