,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.9577464788732394,0.9855072463768116,0.9714285714285714,138.0
snRNA,0.5,0.5,0.5,22.0
mRNA,1.0,0.967741935483871,0.9836065573770492,186.0
pre_miRNA,0.5857142857142857,0.82,0.6833333333333333,50.0
miRNA,0.6216216216216216,0.4423076923076923,0.5168539325842696,52.0
tRNA,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8738317757009346,0.8738317757009346,0.8738317757009346,0.8738317757009346
macro avg,0.7713221114629565,0.7719686863175959,0.7664831812490291,642.0
weighted avg,0.881138848296937,0.8738317757009346,0.8740326487103837,642.0
