,precision,recall,f1-score,support
snoRNA,0.5714285714285714,0.6857142857142857,0.6233766233766234,35.0
rRNA,0.9440559440559441,0.9782608695652174,0.9608540925266904,138.0
snRNA,0.4782608695652174,0.5,0.4888888888888889,22.0
mRNA,0.994413407821229,0.956989247311828,0.9753424657534246,186.0
pre_miRNA,0.6212121212121212,0.82,0.706896551724138,50.0
miRNA,0.6363636363636364,0.40384615384615385,0.4941176470588235,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8707165109034268,0.8707165109034268,0.8707165109034268,0.8707165109034268
macro avg,0.7715062924900504,0.7756253966012345,0.767161964797836,642.0
weighted avg,0.8759438842361009,0.8707165109034268,0.8690740194440632,642.0
