,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.9361702127659575,0.9565217391304348,0.9462365591397849,138.0
snRNA,0.47619047619047616,0.45454545454545453,0.46511627906976744,22.0
mRNA,0.994413407821229,0.956989247311828,0.9753424657534246,186.0
pre_miRNA,0.5753424657534246,0.84,0.6829268292682927,50.0
miRNA,0.6666666666666666,0.38461538461538464,0.4878048780487804,52.0
tRNA,0.8979591836734694,0.9887640449438202,0.9411764705882354,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.8598130841121495
macro avg,0.7606504939165952,0.7566080552469368,0.7496835949199396,642.0
weighted avg,0.8673315963240992,0.8598130841121495,0.8575693263158688,642.0
