,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.950354609929078,0.9710144927536232,0.9605734767025089,138.0
snRNA,0.5217391304347826,0.5454545454545454,0.5333333333333332,22.0
mRNA,0.9943820224719101,0.9516129032258065,0.9725274725274726,186.0
pre_miRNA,0.6938775510204082,0.68,0.686868686868687,50.0
miRNA,0.5384615384615384,0.5384615384615384,0.5384615384615384,52.0
tRNA,0.8888888888888888,0.9887640449438202,0.9361702127659574,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7657706599585181,0.7683420120334881,0.7658499997688412,642.0
weighted avg,0.869522423252085,0.8644859813084113,0.865889206927594,642.0
