,precision,recall,f1-score,support
snoRNA,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
rRNA,0.9568345323741008,0.9637681159420289,0.9602888086642598,138.0
snRNA,0.5882352941176471,0.45454545454545453,0.5128205128205129,22.0
mRNA,0.9944444444444445,0.9623655913978495,0.9781420765027323,186.0
pre_miRNA,0.5970149253731343,0.8,0.6837606837606838,50.0
miRNA,0.5277777777777778,0.36538461538461536,0.4318181818181818,52.0
tRNA,0.9072164948453608,0.9887640449438202,0.9462365591397849,89.0
tmRNA,0.984375,0.9,0.9402985074626866,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7629396895689391,0.7614963349195782,0.75634599094643,642.0
weighted avg,0.8661392274546506,0.8644859813084113,0.8618753161132816,642.0
