,precision,recall,f1-score,support
snoRNA,0.5,0.5428571428571428,0.5205479452054795,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
mRNA,0.988950276243094,0.9623655913978495,0.9754768392370572,186.0
pre_miRNA,0.6029411764705882,0.82,0.6949152542372881,50.0
miRNA,0.59375,0.36538461538461536,0.45238095238095233,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8613707165109035,0.8613707165109035,0.8613707165109035,0.8613707165109035
macro avg,0.7505542164019474,0.7488565833667832,0.7433520795887251,642.0
weighted avg,0.8634632371129649,0.8613707165109035,0.8580759490592684,642.0
