,precision,recall,f1-score,support
snoRNA,0.5666666666666667,0.4857142857142857,0.523076923076923,35.0
rRNA,0.9703703703703703,0.9492753623188406,0.9597069597069596,138.0
snRNA,0.7333333333333333,0.5,0.5945945945945945,22.0
mRNA,0.9179487179487179,0.9623655913978495,0.9396325459317586,186.0
pre_miRNA,0.6,0.72,0.6545454545454547,50.0
miRNA,0.48214285714285715,0.5192307692307693,0.5,52.0
tRNA,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
tmRNA,0.9666666666666667,0.8285714285714286,0.8923076923076922,70.0
accuracy,0.8520249221183801,0.8520249221183801,0.8520249221183801,0.8520249221183801
macro avg,0.7755201973951973,0.7442401852721242,0.7552052434926451,642.0
weighted avg,0.8557948109349979,0.8520249221183801,0.8517305619667825,642.0
