,precision,recall,f1-score,support
snoRNA,0.5,0.4857142857142857,0.49275362318840576,35.0
rRNA,0.8859060402684564,0.9565217391304348,0.9198606271777003,138.0
snRNA,0.47619047619047616,0.45454545454545453,0.46511627906976744,22.0
mRNA,0.9532163742690059,0.8763440860215054,0.9131652661064426,186.0
pre_miRNA,0.6521739130434783,0.6,0.6250000000000001,50.0
miRNA,0.43478260869565216,0.5769230769230769,0.4958677685950413,52.0
tRNA,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0
tmRNA,0.9523809523809523,0.8571428571428571,0.9022556390977443,70.0
accuracy,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638
macro avg,0.7304268012239802,0.7244944430526793,0.7253479060223653,642.0
weighted avg,0.8370927221468646,0.8255451713395638,0.8293792207184336,642.0
