,precision,recall,f1-score,support
snoRNA,0.5,0.5428571428571428,0.5205479452054795,35.0
rRNA,0.903448275862069,0.9492753623188406,0.9257950530035336,138.0
snRNA,0.75,0.5454545454545454,0.631578947368421,22.0
mRNA,0.9344262295081968,0.9193548387096774,0.9268292682926829,186.0
pre_miRNA,0.5957446808510638,0.56,0.577319587628866,50.0
miRNA,0.4126984126984127,0.5,0.45217391304347826,52.0
tRNA,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
tmRNA,0.9836065573770492,0.8571428571428571,0.916030534351145,70.0
accuracy,0.8317757009345794,0.8317757009345794,0.8317757009345794,0.8317757009345794
macro avg,0.757181530773054,0.731451604546338,0.7409754173476558,642.0
weighted avg,0.8404659677208008,0.8317757009345794,0.8345249788247788,642.0
