,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.9183673469387755,0.9782608695652174,0.9473684210526316,138.0
snRNA,0.6666666666666666,0.5454545454545454,0.6,22.0
mRNA,0.967032967032967,0.946236559139785,0.9565217391304348,186.0
pre_miRNA,0.54,0.54,0.54,50.0
miRNA,0.4727272727272727,0.5,0.48598130841121495,52.0
tRNA,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8504672897196262,0.8504672897196262,0.8504672897196262,0.8504672897196262
macro avg,0.7601291962006248,0.7462680738164924,0.75149712119365,642.0
weighted avg,0.8547035617796633,0.8504672897196262,0.8515342649045121,642.0
