,precision,recall,f1-score,support
snoRNA,0.4594594594594595,0.4857142857142857,0.47222222222222227,35.0
rRNA,0.9485294117647058,0.9347826086956522,0.9416058394160585,138.0
snRNA,0.5789473684210527,0.5,0.5365853658536586,22.0
mRNA,0.9565217391304348,0.946236559139785,0.9513513513513514,186.0
pre_miRNA,0.6326530612244898,0.62,0.6262626262626263,50.0
miRNA,0.47619047619047616,0.5769230769230769,0.5217391304347826,52.0
tRNA,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
tmRNA,0.96875,0.8857142857142857,0.9253731343283582,70.0
accuracy,0.8473520249221184,0.8473520249221184,0.8473520249221184,0.8473520249221184
macro avg,0.7498536617460496,0.7422668576413632,0.7447974866665932,642.0
weighted avg,0.8549179213917228,0.8473520249221184,0.8503951377014313,642.0
