,precision,recall,f1-score,support
snoRNA,0.4838709677419355,0.42857142857142855,0.4545454545454545,35.0
rRNA,0.9635036496350365,0.9565217391304348,0.9600000000000001,138.0
snRNA,0.65,0.5909090909090909,0.6190476190476191,22.0
mRNA,0.946236559139785,0.946236559139785,0.946236559139785,186.0
pre_miRNA,0.5862068965517241,0.68,0.6296296296296295,50.0
miRNA,0.46551724137931033,0.5192307692307693,0.49090909090909085,52.0
tRNA,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
tmRNA,0.9672131147540983,0.8428571428571429,0.9007633587786259,70.0
accuracy,0.8473520249221184,0.8473520249221184,0.8473520249221184,0.8473520249221184
macro avg,0.7536976745293571,0.7441363468478089,0.7473636862284978,642.0
weighted avg,0.85278361526267,0.8473520249221184,0.849053816314048,642.0
