,precision,recall,f1-score,support
snoRNA,0.4523809523809524,0.5428571428571428,0.49350649350649345,35.0
rRNA,0.9621212121212122,0.9202898550724637,0.9407407407407408,138.0
snRNA,0.75,0.4090909090909091,0.5294117647058824,22.0
mRNA,0.9109947643979057,0.9354838709677419,0.9230769230769231,186.0
pre_miRNA,0.5,0.7,0.5833333333333334,50.0
miRNA,0.4,0.3076923076923077,0.34782608695652173,52.0
tRNA,0.9456521739130435,0.9775280898876404,0.9613259668508287,89.0
tmRNA,0.9682539682539683,0.8714285714285714,0.9172932330827068,70.0
accuracy,0.822429906542056,0.822429906542056,0.822429906542056,0.822429906542056
macro avg,0.7361753838833852,0.7080463433745972,0.7120643177816788,642.0
weighted avg,0.8291151215578034,0.822429906542056,0.8215832968297596,642.0
