,precision,recall,f1-score,support
snoRNA,0.5348837209302325,0.6571428571428571,0.5897435897435898,35.0
rRNA,0.9492753623188406,0.9492753623188406,0.9492753623188406,138.0
snRNA,0.5714285714285714,0.5454545454545454,0.5581395348837208,22.0
mRNA,0.9560439560439561,0.9354838709677419,0.9456521739130435,186.0
pre_miRNA,0.6415094339622641,0.68,0.6601941747572816,50.0
miRNA,0.48,0.46153846153846156,0.47058823529411764,52.0
tRNA,0.9560439560439561,0.9775280898876404,0.9666666666666667,89.0
tmRNA,0.953125,0.8714285714285714,0.9104477611940298,70.0
accuracy,0.8504672897196262,0.8504672897196262,0.8504672897196262,0.8504672897196262
macro avg,0.7552887500909775,0.7597314698423323,0.7563384373464113,642.0
weighted avg,0.855075807498735,0.8504672897196262,0.8521127310691078,642.0
