,precision,recall,f1-score,support
snoRNA,0.5909090909090909,0.7428571428571429,0.6582278481012659,35.0
rRNA,0.9568345323741008,0.9637681159420289,0.9602888086642598,138.0
snRNA,0.6190476190476191,0.5909090909090909,0.6046511627906977,22.0
mRNA,0.9456521739130435,0.9354838709677419,0.9405405405405404,186.0
pre_miRNA,0.6458333333333334,0.62,0.6326530612244898,50.0
miRNA,0.509090909090909,0.5384615384615384,0.5233644859813084,52.0
tRNA,0.9886363636363636,0.9775280898876404,0.983050847457627,89.0
tmRNA,0.9523809523809523,0.8571428571428571,0.9022556390977443,70.0
accuracy,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.8598130841121495
macro avg,0.7760481218356765,0.778268838271005,0.7756290492322417,642.0
weighted avg,0.8655062812866273,0.8598130841121495,0.8618344593364041,642.0
