,precision,recall,f1-score,support
snoRNA,0.47619047619047616,0.5714285714285714,0.5194805194805195,35.0
rRNA,0.9315068493150684,0.9855072463768116,0.9577464788732394,138.0
snRNA,0.47619047619047616,0.45454545454545453,0.46511627906976744,22.0
mRNA,0.9943502824858758,0.946236559139785,0.9696969696969697,186.0
pre_miRNA,0.6111111111111112,0.66,0.6346153846153846,50.0
miRNA,0.5,0.4423076923076923,0.4693877551020408,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8520249221183801,0.8520249221183801,0.8520249221183801,0.8520249221183801
macro avg,0.7394581230958365,0.7400272675213383,0.7379828544865025,642.0
weighted avg,0.8561333578028394,0.8520249221183801,0.8526592425900887,642.0
