,precision,recall,f1-score,support
snoRNA,0.5641025641025641,0.6285714285714286,0.5945945945945945,35.0
rRNA,0.9440559440559441,0.9782608695652174,0.9608540925266904,138.0
snRNA,0.42857142857142855,0.5454545454545454,0.4799999999999999,22.0
mRNA,0.9943502824858758,0.946236559139785,0.9696969696969697,186.0
pre_miRNA,0.6545454545454545,0.72,0.6857142857142857,50.0
miRNA,0.5333333333333333,0.46153846153846156,0.4948453608247423,52.0
tRNA,0.946236559139785,0.9887640449438202,0.967032967032967,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7581494457792981,0.7693175243659429,0.7615165262230237,642.0
weighted avg,0.8708359716795969,0.8644859813084113,0.8663138548524005,642.0
