,precision,recall,f1-score,support
snoRNA,0.5,0.5714285714285714,0.5333333333333333,35.0
rRNA,0.918918918918919,0.9855072463768116,0.951048951048951,138.0
snRNA,0.4166666666666667,0.45454545454545453,0.43478260869565216,22.0
mRNA,0.9833333333333333,0.9516129032258065,0.9672131147540983,186.0
pre_miRNA,0.6538461538461539,0.68,0.6666666666666666,50.0
miRNA,0.5625,0.5192307692307693,0.54,52.0
tRNA,0.945054945054945,0.9662921348314607,0.9555555555555557,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.8551401869158879,0.8551401869158879,0.8551401869158879,0.8551401869158879
macro avg,0.7475400022275022,0.7464342778120021,0.7454161140280999,642.0
weighted avg,0.8604823602487152,0.8551401869158879,0.8564907541693213,642.0
