,precision,recall,f1-score,support
snoRNA,0.5641025641025641,0.6285714285714286,0.5945945945945945,35.0
rRNA,0.9066666666666666,0.9855072463768116,0.9444444444444444,138.0
snRNA,0.4583333333333333,0.5,0.4782608695652174,22.0
mRNA,0.9942528735632183,0.9301075268817204,0.9611111111111111,186.0
pre_miRNA,0.6101694915254238,0.72,0.6605504587155964,50.0
miRNA,0.5365853658536586,0.4230769230769231,0.4731182795698925,52.0
tRNA,0.9166666666666666,0.9887640449438202,0.9513513513513513,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.8520249221183801,0.8520249221183801,0.8520249221183801,0.8520249221183801
macro avg,0.7483471202139413,0.7523605390884809,0.7472699739403438,642.0
weighted avg,0.856498760893577,0.8520249221183801,0.851656544294187,642.0
