,precision,recall,f1-score,support
snoRNA,0.47619047619047616,0.5714285714285714,0.5194805194805195,35.0
rRNA,0.9251700680272109,0.9855072463768116,0.9543859649122808,138.0
snRNA,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
mRNA,0.9943820224719101,0.9516129032258065,0.9725274725274726,186.0
pre_miRNA,0.6923076923076923,0.72,0.7058823529411765,50.0
miRNA,0.5319148936170213,0.4807692307692308,0.505050505050505,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8571428571428571,0.923076923076923,70.0
accuracy,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.8598130841121495
macro avg,0.7513351024907153,0.751221288554069,0.7495872283017642,642.0
weighted avg,0.864313551797254,0.8598130841121495,0.8606619130376839,642.0
