,precision,recall,f1-score,support
snoRNA,0.65625,0.6,0.626865671641791,35.0
rRNA,0.8888888888888888,0.9855072463768116,0.9347079037800687,138.0
snRNA,0.631578947368421,0.5454545454545454,0.5853658536585366,22.0
mRNA,0.9725274725274725,0.9516129032258065,0.9619565217391304,186.0
pre_miRNA,0.5915492957746479,0.84,0.6942148760330579,50.0
miRNA,0.6216216216216216,0.4423076923076923,0.5168539325842696,52.0
tRNA,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
tmRNA,1.0,0.8,0.888888888888889,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7898672456639358,0.7692058040385845,0.7726536673666847,642.0
weighted avg,0.8683060549759303,0.8644859813084113,0.8614996231081365,642.0
