,precision,recall,f1-score,support
snoRNA,0.6153846153846154,0.6857142857142857,0.6486486486486486,35.0
rRNA,0.9432624113475178,0.9637681159420289,0.9534050179211468,138.0
snRNA,0.631578947368421,0.5454545454545454,0.5853658536585366,22.0
mRNA,0.9521276595744681,0.9623655913978495,0.9572192513368984,186.0
pre_miRNA,0.5625,0.54,0.5510204081632654,50.0
miRNA,0.4666666666666667,0.5384615384615384,0.5,52.0
tRNA,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
tmRNA,1.0,0.8142857142857143,0.8976377952755905,70.0
accuracy,0.8535825545171339,0.8535825545171339,0.8535825545171339,0.8535825545171339
macro avg,0.7686622597649333,0.7548517295249728,0.7595671498084717,642.0
weighted avg,0.8599891662247106,0.8535825545171339,0.8552764340665026,642.0
