,precision,recall,f1-score,support
snoRNA,0.6097560975609756,0.7142857142857143,0.6578947368421052,35.0
rRNA,0.9375,0.9782608695652174,0.9574468085106383,138.0
snRNA,0.75,0.5454545454545454,0.631578947368421,22.0
mRNA,0.988950276243094,0.9623655913978495,0.9754768392370572,186.0
pre_miRNA,0.5777777777777777,0.52,0.5473684210526315,50.0
miRNA,0.5079365079365079,0.6153846153846154,0.5565217391304348,52.0
tRNA,1.0,0.9887640449438202,0.9943502824858756,89.0
tmRNA,1.0,0.9142857142857143,0.955223880597015,70.0
accuracy,0.8738317757009346,0.8738317757009346,0.8738317757009346,0.8738317757009346
macro avg,0.7964900824397944,0.7798501369146846,0.7844827069030224,642.0
weighted avg,0.8807831808371291,0.8738317757009346,0.8756352065024732,642.0
