,precision,recall,f1-score,support
snoRNA,0.6,0.5142857142857142,0.5538461538461538,35.0
rRNA,0.9183673469387755,0.9782608695652174,0.9473684210526316,138.0
snRNA,0.5454545454545454,0.5454545454545454,0.5454545454545454,22.0
mRNA,0.9887005649717514,0.9408602150537635,0.9641873278236914,186.0
pre_miRNA,0.5573770491803278,0.68,0.6126126126126127,50.0
miRNA,0.54,0.5192307692307693,0.5294117647058824,52.0
tRNA,0.956989247311828,1.0,0.978021978021978,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.8598130841121495
macro avg,0.7633610942321536,0.757975799913037,0.7587870928639293,642.0
weighted avg,0.8641026393022833,0.8598130841121495,0.8604702097538217,642.0
