,precision,recall,f1-score,support
snoRNA,0.5454545454545454,0.5142857142857142,0.5294117647058822,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.631578947368421,0.5454545454545454,0.5853658536585366,22.0
mRNA,0.9623655913978495,0.9623655913978495,0.9623655913978495,186.0
pre_miRNA,0.6744186046511628,0.58,0.6236559139784946,50.0
miRNA,0.47761194029850745,0.6153846153846154,0.5378151260504201,52.0
tRNA,0.9560439560439561,0.9775280898876404,0.9666666666666667,89.0
tmRNA,1.0,0.8285714285714286,0.90625,70.0
accuracy,0.8582554517133957,0.8582554517133957,0.8582554517133957,0.8582554517133957
macro avg,0.7731755774621502,0.7511371539198257,0.759082707313415,642.0
weighted avg,0.8645869032829091,0.8582554517133957,0.8592889696805304,642.0
