,precision,recall,f1-score,support
snoRNA,0.5853658536585366,0.6857142857142857,0.6315789473684211,35.0
rRNA,0.9366197183098591,0.9637681159420289,0.95,138.0
snRNA,0.6470588235294118,0.5,0.5641025641025642,22.0
mRNA,0.9621621621621622,0.956989247311828,0.9595687331536389,186.0
pre_miRNA,0.6545454545454545,0.72,0.6857142857142857,50.0
miRNA,0.5686274509803921,0.5576923076923077,0.5631067961165048,52.0
tRNA,1.0,0.9887640449438202,0.9943502824858756,89.0
tmRNA,1.0,0.9,0.9473684210526316,70.0
accuracy,0.8753894080996885,0.8753894080996885,0.8753894080996885,0.8753894080996885
macro avg,0.7942974328982271,0.7841160002005338,0.7869737537492403,642.0
weighted avg,0.8788702219047845,0.8753894080996885,0.8761301187436568,642.0
