,precision,recall,f1-score,support
snoRNA,0.5111111111111111,0.6571428571428571,0.575,35.0
rRNA,0.9121621621621622,0.9782608695652174,0.9440559440559442,138.0
snRNA,0.5625,0.4090909090909091,0.47368421052631576,22.0
mRNA,0.9777777777777777,0.946236559139785,0.9617486338797814,186.0
pre_miRNA,0.6341463414634146,0.52,0.5714285714285714,50.0
miRNA,0.5254237288135594,0.5961538461538461,0.5585585585585586,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.8520249221183801,0.8520249221183801,0.8520249221183801,0.8520249221183801
macro avg,0.7574114167617478,0.7423132786116973,0.7451191543124369,642.0
weighted avg,0.8572545698466977,0.8520249221183801,0.851953471334347,642.0
