,precision,recall,f1-score,support
snoRNA,0.5833333333333334,0.6,0.591549295774648,35.0
rRNA,0.9444444444444444,0.9855072463768116,0.9645390070921985,138.0
snRNA,0.6,0.5454545454545454,0.5714285714285713,22.0
mRNA,0.9888888888888889,0.956989247311828,0.9726775956284154,186.0
pre_miRNA,0.6470588235294118,0.66,0.6534653465346535,50.0
miRNA,0.5517241379310345,0.6153846153846154,0.5818181818181819,52.0
tRNA,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
tmRNA,1.0,0.9,0.9473684210526316,70.0
accuracy,0.8769470404984424,0.8769470404984424,0.8769470404984424,0.8769470404984424
macro avg,0.7866534257381114,0.7815124624339527,0.7832608303491234,642.0
weighted avg,0.8815391774212461,0.8769470404984424,0.8785857505177264,642.0
