nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
AE006468.2/4399812-4399927,0.6232249301606867,0.7397873076066745,0.7619111441280284,0.7659568942010268,0.7669971819044441,rRNA
AE006468.2/3566749-3566634,0.6282841321920248,0.7418098152771443,0.762076971432042,0.766156194376008,0.7670842679055047,rRNA
AE006468.2/294522-294637,0.6251755065909841,0.7411456108084108,0.762342157649137,0.7663554945509893,0.7671713539065651,rRNA
AE006468.2/4100145-4101686,0.6369542317878668,0.7461919525711138,0.7651191653192513,0.7684017784300077,0.7690126886092172,rRNA
AE006468.2/289180-290721,0.6368894404869313,0.7461586233662975,0.765115806844772,0.7684031112623444,0.7690142228057633,rRNA
AE006468.2/3572014-3570473,0.637025990745104,0.7461991609631481,0.7651184708978458,0.7684033415603098,0.7690140455616198,rRNA
AE006468.2/2801663-2800122,0.637025990745104,0.7461943886940717,0.7651181212903893,0.7684040481815495,0.769014248506097,rRNA
AE006468.2/4394688-4396230,0.6369837313728198,0.7461971995431663,0.7651258589215109,0.7684060593736837,0.7690154127890395,rRNA
AE006468.2/4100150-4101684,0.636771566193602,0.7461441172063239,0.7651096062815244,0.7684004107633282,0.7690122664757089,rRNA
AE006468.2/289185-290719,0.6366991102167984,0.746108701442323,0.7651054042519959,0.768401943367327,0.7690138168538394,rRNA
AE006468.2/2801658-2800124,0.6368407266096653,0.7461468021476945,0.7651088493463802,0.7684028901620019,0.7690138428252414,rRNA
AE006468.2/3572009-3570475,0.6368407266096653,0.7461508727060067,0.7651089081138379,0.7684021760927168,0.7690136377402542,rRNA
AE006468.2/4394693-4396228,0.6368004751592986,0.7461488266484181,0.7651160571893352,0.7684049169085019,0.7690150180569482,rRNA
AE006468.2/2801658-2800127,0.636728803828986,0.7461121175407527,0.7651015428468712,0.7684002822747295,0.7690133190363192,rRNA
AE006468.2/3572009-3570478,0.636728803828986,0.7461165850298794,0.7651016018796964,0.7683995649789153,0.7690131130240462,rRNA
AE006468.2/4100150-4101681,0.6366574656046469,0.7461093927617752,0.765102303199996,0.7683977916728684,0.7690117355593683,rRNA
AE006468.2/289185-290716,0.6365865959979301,0.7460742526840296,0.7650980821959812,0.7683993312019534,0.7690132929474882,rRNA
AE006468.2/4394693-4396225,0.6366874275276171,0.7461144929742963,0.7651087784106473,0.7684023189188602,0.7690144995334148,rRNA
AE006468.2/2799768-2796761,0.6366441603924696,0.7459855808478655,0.7649910901004615,0.7684098593467416,0.7690513858180763,rRNA
AE006468.2/3570080-3567089,0.6368682977215575,0.746102267009876,0.7650277395548822,0.7684178779548638,0.7690521121595072,rRNA
AE006468.2/4353199-4356190,0.6368682977215575,0.7461057194272543,0.7650308807839662,0.7684191205539563,0.7690526329049435,rRNA
AE006468.2/4198128-4201119,0.636836586208788,0.746091392041979,0.7650279393861815,0.7684189995192399,0.7690526092146083,rRNA
AE006468.2/4396623-4399614,0.636811908223313,0.7460768861464505,0.7650192971757005,0.7684155234129335,0.7690516139248481,rRNA
AE006468.2/4102040-4105031,0.6367638858544238,0.7460536979328168,0.7650098525892959,0.7684124750560997,0.7690507560522983,rRNA
AE006468.2/291234-294324,0.6366873631735214,0.7460528204812518,0.7650186520699861,0.76841653541745,0.7690514396993401,rRNA
AE006468.2/4198129-4201120,0.6368656244994011,0.7461039157914655,0.7650318934332387,0.7684200043111005,0.7690528077708227,rRNA
AE006468.2/4353200-4356191,0.6368976548267977,0.746118339906223,0.7650348348310235,0.7684201253458169,0.769052831461158,rRNA
AE006468.2/3570079-3567088,0.6368976548267977,0.7461150801869149,0.7650316936019395,0.7684189447620446,0.7690523107157217,rRNA
AE006468.2/4396624-4399615,0.6368414246180844,0.7460896993234893,0.7650232512227577,0.7684165902201144,0.7690518124810626,rRNA
AE006468.2/2799767-2796760,0.6366734360887248,0.7459979574743962,0.7649950549094384,0.7684108518762272,0.7690515389149178,rRNA
AE006468.2/4102041-4105032,0.6367934022491952,0.7460665111098557,0.7650138066363532,0.7684135418632806,0.7690509546085129,rRNA
AE006468.2/291235-294325,0.6367174772356415,0.7460652396404037,0.7650222873845929,0.768417371992487,0.7690515834936889,rRNA
AE006468.2/2799608-2796773,0.6365193707376275,0.7459155509887077,0.7649922661167534,0.7684138401200382,0.7690510488071683,rRNA
AE006468.2/3569920-3567099,0.63671979505663,0.7460278467786621,0.7650264168331943,0.7684213693093146,0.7690518175765363,rRNA
AE006468.2/4353359-4356180,0.6366494719898418,0.7460075453735986,0.7650215992096283,0.7684199540885048,0.7690513119047843,rRNA
AE006468.2/4396783-4399604,0.6366590767142525,0.7460009221501188,0.7650175922629355,0.7684189279172097,0.7690512907605777,rRNA
AE006468.2/4198288-4201109,0.636616455392424,0.7459922902224166,0.7650187332047134,0.7684197431850335,0.7690512566686247,rRNA
AE006468.2/4102200-4105021,0.6366073965411245,0.7459758578565625,0.765008014688937,0.7684160264479232,0.769050592990167,rRNA
AE006468.2/291394-294314,0.636531434194525,0.745975972445647,0.7650153361341021,0.7684202258798498,0.7690510320808891,rRNA
NZ_CP029463.1/451506-451397,0.6405370470820905,0.7466802186935899,0.7642058431494039,0.7668324864413351,0.767439507601921,rRNA
NZ_CP029463.1/2898154-2899670,0.6391008418204702,0.7470662634821756,0.7653623368884523,0.7684834573439194,0.7690358704206042,rRNA
NZ_CP029463.1/456422-454907,0.6391401457374605,0.7470827388580963,0.7653650214029943,0.7684841479347362,0.7690358577870261,rRNA
NZ_CP029463.1/940436-938922,0.6390198551319648,0.7470458643045123,0.7653558779771394,0.7684812925538951,0.7690346421362668,rRNA
NZ_CP029463.1/456417-454909,0.6390739002413991,0.7470548711067367,0.7653614390469075,0.768483835923594,0.769036102191304,rRNA
NZ_CP029463.1/2898159-2899668,0.6390337806933563,0.7470380581799784,0.7653586956456369,0.7684831315235984,0.7690361127874863,rRNA
NZ_CP029463.1/940431-938924,0.63895284486018,0.7470177631430237,0.7653522278062003,0.7684809563320543,0.7690348756667085,rRNA
NZ_CP029463.1/2898159-2899665,0.6389198246793182,0.7470027056976198,0.7653501891944672,0.7684809326983436,0.7690355536966124,rRNA
NZ_CP029463.1/456417-454912,0.638960469297943,0.7470196296794722,0.7653529475447723,0.7684816399399305,0.7690355429694617,rRNA
NZ_CP029463.1/940431-938927,0.6388366429548065,0.7469815597822783,0.7653436963324644,0.7684787467096181,0.7690343107173607,rRNA
NZ_CP029463.1/2900078-2902948,0.6373202991187544,0.7461972473754027,0.7651108642109199,0.768435199918928,0.7690499236143165,rRNA
NZ_CP029463.1/454500-451631,0.6373406211761338,0.7462050911601813,0.765112919395904,0.7684356927756658,0.7690498020615004,rRNA
NZ_CP029463.1/938515-935648,0.6373301298310319,0.7462072718243212,0.7651134081829826,0.7684356652574924,0.7690498015054416,rRNA
NZ_CP029463.1/2900080-2902948,0.6373165102854794,0.7461928298537736,0.765107765825666,0.7684341691184697,0.7690496754877109,rRNA
NZ_CP029463.1/454498-451631,0.6373369578289615,0.7462006994446628,0.7651098248235947,0.7684346625188766,0.7690495536721313,rRNA
NZ_CP029463.1/938513-935648,0.6373266358348832,0.7462029101143274,0.7651103154289683,0.768434634460746,0.7690495529800602,rRNA
NZ_CP029463.1/454354-451490,0.638040543509904,0.746404080292405,0.7651719751316963,0.7684524399670685,0.7690537168692189,rRNA
NZ_CP029463.1/2900225-2903090,0.6380220503732492,0.7463969469958527,0.7651702290166045,0.7684519953524176,0.7690536269918069,rRNA
NZ_CP029463.1/938370-935507,0.6380097934993179,0.7463985857068798,0.765170618106309,0.7684520404475359,0.7690536758449785,rRNA
AL123456.3/1476900-1477012,0.6170642345262356,0.7366586681364345,0.7605661043287673,0.7661501405017564,0.7670861927482122,rRNA
AL123456.3/1473670-1473825,0.630830558976451,0.7411676975276486,0.7624723621067623,0.7668256872673741,0.7678723428133648,rRNA
AL123456.3/1471849-1473380,0.6332557696628797,0.7450157856277224,0.7648195546493503,0.7683072015643035,0.7689831565610022,rRNA
AL123456.3/1471854-1473378,0.6329742286939485,0.7449408143778331,0.7648030201963397,0.768302462322483,0.7689816867353234,rRNA
AL123456.3/1471854-1473375,0.6328612177912555,0.7449057533411553,0.7647956911601422,0.7682996372343863,0.768980881207996,rRNA
AL123456.3/1473656-1476795,0.6343777665689772,0.7452459470244706,0.7648721672225925,0.7683960165903112,0.7690478401305821,rRNA
AL123456.3/1473658-1476795,0.6343766475715445,0.7452360665321534,0.7648682040640121,0.7683950942116886,0.7690476521025406,rRNA
AL123456.3/1473819-1476784,0.6343586952430194,0.7451793829710182,0.7648523666982211,0.7683903161123136,0.7690444210001327,rRNA
NC_005042.1/358431-358547,0.6389988921739345,0.7445204034169403,0.763261907408144,0.766858745328781,0.7675397375266639,rRNA
NC_005042.1/353311-354795,0.637309247863491,0.74644980752418,0.7651259264775466,0.7684159039951896,0.7690102749124069,rRNA
NC_005042.1/353316-354793,0.6372195153758794,0.7464289099757788,0.7651211904003157,0.7684148366120684,0.769009317725216,rRNA
NC_005042.1/353316-354790,0.6371177943757752,0.7463990891556357,0.7651152936457951,0.7684129613819217,0.769008776388247,rRNA
NC_005042.1/355460-358335,0.6362423991881949,0.7457533767879011,0.764964040055424,0.7684197857326373,0.7690458835263481,rRNA
NC_005042.1/355462-358335,0.6362158060935633,0.7457439925528637,0.7649637201680468,0.7684197644420256,0.7690457526710134,rRNA
NC_005042.1/355608-358430,0.6371938869880679,0.745999148815073,0.7650325861630625,0.7684328829369135,0.7690482441034076,rRNA
NZ_CP072646.1/111049-111165,0.6376497599995058,0.7460959479356801,0.7633028820128143,0.7663883045014126,0.7673690902443329,rRNA
NZ_CP072646.1/106357-107858,0.6371939671157127,0.7464394904536701,0.7651308834510823,0.7684159884711177,0.7690085605144904,rRNA
NZ_CP072646.1/106362-107856,0.6370083876150631,0.7463806095994542,0.7651193014321053,0.7684134768802685,0.7690082196619457,rRNA
NZ_CP072646.1/106362-107853,0.6368964760704332,0.7463446329262585,0.7651114443094397,0.7684118333511807,0.7690078331866075,rRNA
NZ_CP072646.1/108120-111006,0.6372395379657815,0.7460575538335709,0.7650142812700205,0.7684213347287284,0.7690481158951047,rRNA
NZ_CP072646.1/108121-111007,0.6372355508316027,0.7460647357917575,0.7650169166935674,0.7684215028748976,0.7690481158951047,rRNA
NZ_CP072646.1/108263-110995,0.637491967773545,0.7460764112086604,0.7650167592633331,0.7684217385139994,0.7690453263053613,rRNA
CP025209.1/684213-684329,0.6244129381224697,0.7396048152184963,0.7619429019574118,0.7664094540912704,0.7673264284237501,rRNA
CP025209.1/679099-680617,0.6345740330250867,0.7454759023687297,0.7649192831238609,0.7683607849698046,0.7689984139833755,rRNA
CP025209.1/2120249-2118807,0.6378831818026595,0.7466647810443698,0.7652185977898919,0.7684353920747037,0.7690132252635896,rRNA
CP025209.1/679104-680615,0.6342475844443954,0.7453839682318265,0.7649049133184002,0.7683565216893556,0.7689964373651584,rRNA
