,precision,recall,f1-score,support
snoRNA,0.6486486486486487,0.6857142857142857,0.6666666666666667,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.52,0.5909090909090909,0.5531914893617023,22.0
mRNA,0.988950276243094,0.9623655913978495,0.9754768392370572,186.0
pre_miRNA,0.7777777777777778,0.7,0.7368421052631577,50.0
miRNA,0.6111111111111112,0.6346153846153846,0.6226415094339622,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8862928348909658,0.8862928348909658,0.8862928348909658,0.8862928348909658
macro avg,0.8025736326286685,0.8024130269232268,0.8011244619769327,642.0
weighted avg,0.8901989913479372,0.8862928348909658,0.8872028231524784,642.0
