,precision,recall,f1-score,support
snoRNA,0.4864864864864865,0.5142857142857142,0.5,35.0
rRNA,0.9432624113475178,0.9637681159420289,0.9534050179211468,138.0
snRNA,0.5,0.5,0.5,22.0
mRNA,0.9835164835164835,0.9623655913978495,0.9728260869565217,186.0
pre_miRNA,0.6607142857142857,0.74,0.6981132075471698,50.0
miRNA,0.5714285714285714,0.5384615384615384,0.5544554455445544,52.0
tRNA,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
tmRNA,1.0,0.9,0.9473684210526316,70.0
accuracy,0.867601246105919,0.867601246105919,0.867601246105919,0.867601246105919
macro avg,0.7627412472029725,0.7634556256288689,0.76231798370372,642.0
weighted avg,0.8707347983016498,0.867601246105919,0.8685515796424911,642.0
