,precision,recall,f1-score,support
snoRNA,0.55,0.6285714285714286,0.5866666666666667,35.0
rRNA,0.9640287769784173,0.9710144927536232,0.967509025270758,138.0
snRNA,0.52,0.5909090909090909,0.5531914893617023,22.0
mRNA,0.9781420765027322,0.9623655913978495,0.9701897018970189,186.0
pre_miRNA,0.8048780487804879,0.66,0.7252747252747254,50.0
miRNA,0.5901639344262295,0.6923076923076923,0.6371681415929203,52.0
tRNA,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.881619937694704,0.881619937694704,0.881619937694704,0.881619937694704
macro avg,0.7954668219772878,0.7956701140390094,0.7929591438243988,642.0
weighted avg,0.8905346717512878,0.881619937694704,0.8844296447427008,642.0
