,precision,recall,f1-score,support
snoRNA,0.5526315789473685,0.6,0.5753424657534247,35.0
rRNA,0.9507042253521126,0.9782608695652174,0.9642857142857143,138.0
snRNA,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
mRNA,0.9836065573770492,0.967741935483871,0.975609756097561,186.0
pre_miRNA,0.7555555555555555,0.68,0.7157894736842104,50.0
miRNA,0.559322033898305,0.6346153846153846,0.5945945945945946,52.0
tRNA,0.9354838709677419,0.9775280898876404,0.956043956043956,89.0
tmRNA,1.0,0.8571428571428571,0.923076923076923,70.0
accuracy,0.8722741433021807,0.8722741433021807,0.8722741433021807,0.8722741433021807
macro avg,0.7739811595804484,0.7687293239050532,0.7699110422602299,642.0
weighted avg,0.8778982805147963,0.8722741433021807,0.8739618673105466,642.0
