,precision,recall,f1-score,support
snoRNA,0.5789473684210527,0.6285714285714286,0.6027397260273972,35.0
rRNA,0.9432624113475178,0.9637681159420289,0.9534050179211468,138.0
snRNA,0.39285714285714285,0.5,0.44,22.0
mRNA,0.9777777777777777,0.946236559139785,0.9617486338797814,186.0
pre_miRNA,0.75,0.72,0.7346938775510204,50.0
miRNA,0.6274509803921569,0.6153846153846154,0.6213592233009709,52.0
tRNA,0.9270833333333334,1.0,0.9621621621621621,89.0
tmRNA,1.0,0.8571428571428571,0.923076923076923,70.0
accuracy,0.8707165109034268,0.8707165109034268,0.8707165109034268,0.8707165109034268
macro avg,0.7746723767661227,0.7788879470225893,0.7748981954899252,642.0
weighted avg,0.8778516543882817,0.8707165109034268,0.8730906843033256,642.0
