,precision,recall,f1-score,support
snoRNA,0.6060606060606061,0.5714285714285714,0.588235294117647,35.0
rRNA,0.9507042253521126,0.9782608695652174,0.9642857142857143,138.0
snRNA,0.5714285714285714,0.5454545454545454,0.5581395348837208,22.0
mRNA,0.9675675675675676,0.9623655913978495,0.9649595687331537,186.0
pre_miRNA,0.7857142857142857,0.66,0.717391304347826,50.0
miRNA,0.578125,0.7115384615384616,0.6379310344827586,52.0
tRNA,0.946236559139785,0.9887640449438202,0.967032967032967,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.881619937694704,0.881619937694704,0.881619937694704,0.881619937694704
macro avg,0.800729601907866,0.787940796255344,0.7921711696597158,642.0
weighted avg,0.8855320381602243,0.881619937694704,0.8820665144102168,642.0
