,precision,recall,f1-score,support
snoRNA,0.5405405405405406,0.5714285714285714,0.5555555555555556,35.0
rRNA,0.9440559440559441,0.9782608695652174,0.9608540925266904,138.0
snRNA,0.46153846153846156,0.5454545454545454,0.4999999999999999,22.0
mRNA,0.9779005524861878,0.9516129032258065,0.9645776566757494,186.0
pre_miRNA,0.7291666666666666,0.7,0.7142857142857142,50.0
miRNA,0.5686274509803921,0.5576923076923077,0.5631067961165048,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8691588785046729,0.8691588785046729,0.8691588785046729,0.8691588785046729
macro avg,0.7697499786292687,0.7723659410030693,0.7699402985542418,642.0
weighted avg,0.8731901835442372,0.8691588785046729,0.8704093405608058,642.0
