,precision,recall,f1-score,support
snoRNA,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
rRNA,0.95,0.9637681159420289,0.9568345323741007,138.0
snRNA,0.5555555555555556,0.45454545454545453,0.5,22.0
mRNA,0.9781420765027322,0.9623655913978495,0.9701897018970189,186.0
pre_miRNA,0.6792452830188679,0.72,0.6990291262135921,50.0
miRNA,0.5576923076923077,0.5576923076923077,0.5576923076923077,52.0
tRNA,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8707165109034268,0.8707165109034268,0.8707165109034268,0.8707165109034268
macro avg,0.7749120120973969,0.7701776536008968,0.7706274936814126,642.0
weighted avg,0.8756881984622957,0.8707165109034268,0.8722325452562909,642.0
