,precision,recall,f1-score,support
snoRNA,0.5555555555555556,0.5714285714285714,0.5633802816901409,35.0
rRNA,0.9136690647482014,0.9202898550724637,0.9169675090252708,138.0
snRNA,0.6470588235294118,0.5,0.5641025641025642,22.0
mRNA,0.9263157894736842,0.946236559139785,0.9361702127659575,186.0
pre_miRNA,0.6031746031746031,0.76,0.672566371681416,50.0
miRNA,0.42857142857142855,0.40384615384615385,0.4158415841584159,52.0
tRNA,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.839563862928349,0.839563862928349,0.839563862928349,0.839563862928349
macro avg,0.7564841693675657,0.7402732965289697,0.7451606619352436,642.0
weighted avg,0.8434661227163444,0.839563862928349,0.839689767603759,642.0
