,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.903448275862069,0.9492753623188406,0.9257950530035336,138.0
snRNA,0.7333333333333333,0.5,0.5945945945945945,22.0
mRNA,0.93048128342246,0.9354838709677419,0.932975871313673,186.0
pre_miRNA,0.639344262295082,0.78,0.7027027027027027,50.0
miRNA,0.4888888888888889,0.4230769230769231,0.4536082474226804,52.0
tRNA,0.9560439560439561,0.9775280898876404,0.9666666666666667,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.8473520249221184,0.8473520249221184,0.8473520249221184,0.8473520249221184
macro avg,0.773750192288416,0.7510276736385362,0.7573299231802451,642.0
weighted avg,0.8492246345637363,0.8473520249221184,0.8458353277432439,642.0
