,precision,recall,f1-score,support
snoRNA,0.5277777777777778,0.5428571428571428,0.5352112676056338,35.0
rRNA,0.8851351351351351,0.9492753623188406,0.916083916083916,138.0
snRNA,0.7333333333333333,0.5,0.5945945945945945,22.0
mRNA,0.9293478260869565,0.9193548387096774,0.9243243243243242,186.0
pre_miRNA,0.6333333333333333,0.76,0.6909090909090909,50.0
miRNA,0.5227272727272727,0.4423076923076923,0.4791666666666667,52.0
tRNA,0.925531914893617,0.9775280898876404,0.9508196721311475,89.0
tmRNA,0.9836065573770492,0.8571428571428571,0.916030534351145,70.0
accuracy,0.8411214953271028,0.8411214953271028,0.8411214953271028,0.8411214953271028
macro avg,0.7675991438330594,0.7435582479029814,0.7508925083333149,642.0
weighted avg,0.8406326855868977,0.8411214953271028,0.8385741271457264,642.0
