,precision,recall,f1-score,support
snoRNA,0.5,0.5428571428571428,0.5205479452054795,35.0
rRNA,0.9436619718309859,0.9710144927536232,0.9571428571428571,138.0
snRNA,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
mRNA,0.9944444444444445,0.9623655913978495,0.9781420765027323,186.0
pre_miRNA,0.5694444444444444,0.82,0.6721311475409835,50.0
miRNA,0.5151515151515151,0.3269230769230769,0.4,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8551401869158879,0.8551401869158879,0.8551401869158879,0.8551401869158879
macro avg,0.7391772553978502,0.7422372968561923,0.734444478092619,642.0
weighted avg,0.8586779886691805,0.8551401869158879,0.852698355271683,642.0
