,precision,recall,f1-score,support
snoRNA,0.525,0.6,0.56,35.0
rRNA,0.951048951048951,0.9855072463768116,0.9679715302491103,138.0
snRNA,0.5,0.45454545454545453,0.47619047619047616,22.0
mRNA,0.9943502824858758,0.946236559139785,0.9696969696969697,186.0
pre_miRNA,0.5694444444444444,0.82,0.6721311475409835,50.0
miRNA,0.5,0.3076923076923077,0.380952380952381,52.0
tRNA,0.925531914893617,0.9775280898876404,0.9508196721311475,89.0
tmRNA,0.984375,0.9,0.9402985074626866,70.0
accuracy,0.8566978193146417,0.8566978193146417,0.8566978193146417,0.8566978193146417
macro avg,0.743718824109111,0.7489387072052499,0.7397575855279693,642.0
weighted avg,0.858753458621312,0.8566978193146417,0.8533953668891544,642.0
