,precision,recall,f1-score,support
snoRNA,0.4878048780487805,0.5714285714285714,0.5263157894736842,35.0
rRNA,0.9640287769784173,0.9710144927536232,0.967509025270758,138.0
snRNA,0.4583333333333333,0.5,0.4782608695652174,22.0
mRNA,0.9887640449438202,0.946236559139785,0.967032967032967,186.0
pre_miRNA,0.5797101449275363,0.8,0.6722689075630253,50.0
miRNA,0.5588235294117647,0.36538461538461536,0.441860465116279,52.0
tRNA,0.9157894736842105,0.9775280898876404,0.9456521739130435,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8551401869158879,0.8551401869158879,0.8551401869158879,0.8551401869158879
macro avg,0.7441567726659829,0.7521633267885652,0.7422867671661142,642.0
weighted avg,0.8623865756718009,0.8551401869158879,0.8548878160709417,642.0
