,precision,recall,f1-score,support
snoRNA,0.5,0.45714285714285713,0.4776119402985075,35.0
rRNA,0.9432624113475178,0.9637681159420289,0.9534050179211468,138.0
snRNA,0.4166666666666667,0.45454545454545453,0.43478260869565216,22.0
mRNA,0.994413407821229,0.956989247311828,0.9753424657534246,186.0
pre_miRNA,0.5633802816901409,0.8,0.6611570247933886,50.0
miRNA,0.5,0.36538461538461536,0.42222222222222217,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8504672897196262,0.8504672897196262,0.8504672897196262,0.8504672897196262
macro avg,0.7305048196249049,0.7340385776231113,0.7275546197760895,642.0
weighted avg,0.8542194589330805,0.8504672897196262,0.8491692270099951,642.0
