,precision,recall,f1-score,support
snoRNA,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
rRNA,0.8675496688741722,0.9492753623188406,0.9065743944636678,138.0
snRNA,0.7857142857142857,0.5,0.6111111111111112,22.0
mRNA,0.9382022471910112,0.8978494623655914,0.9175824175824175,186.0
pre_miRNA,0.6774193548387096,0.84,0.75,50.0
miRNA,0.5384615384615384,0.40384615384615385,0.46153846153846156,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,0.967741935483871,0.8571428571428571,0.909090909090909,70.0
accuracy,0.8457943925233645,0.8457943925233645,0.8457943925233645,0.8457943925233645
macro avg,0.7823597863685742,0.761752592220015,0.7643810656336183,642.0
weighted avg,0.8467475161939587,0.8457943925233645,0.8424659244727654,642.0
