,precision,recall,f1-score,support
snoRNA,0.4528301886792453,0.6857142857142857,0.5454545454545454,35.0
rRNA,0.9206349206349206,0.8405797101449275,0.8787878787878787,138.0
snRNA,0.5294117647058824,0.4090909090909091,0.46153846153846156,22.0
mRNA,0.8762376237623762,0.9516129032258065,0.9123711340206186,186.0
pre_miRNA,0.6451612903225806,0.8,0.7142857142857142,50.0
miRNA,0.5277777777777778,0.36538461538461536,0.4318181818181818,52.0
tRNA,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
tmRNA,1.0,0.7714285714285715,0.870967741935484,70.0
accuracy,0.8208722741433022,0.8208722741433022,0.8208722741433022,0.8208722741433022
macro avg,0.7385719131266522,0.726571879991617,0.7234499185560774,642.0
weighted avg,0.8292163181275797,0.8208722741433022,0.8191534626381947,642.0
