,precision,recall,f1-score,support
snoRNA,0.6666666666666666,0.5714285714285714,0.6153846153846153,35.0
rRNA,0.88,0.9565217391304348,0.9166666666666666,138.0
snRNA,0.8666666666666667,0.5909090909090909,0.7027027027027029,22.0
mRNA,0.9388888888888889,0.9086021505376344,0.9234972677595629,186.0
pre_miRNA,0.6666666666666666,0.8,0.7272727272727272,50.0
miRNA,0.5,0.5192307692307693,0.509433962264151,52.0
tRNA,0.9456521739130435,0.9775280898876404,0.9613259668508287,89.0
tmRNA,0.9836065573770492,0.8571428571428571,0.916030534351145,70.0
accuracy,0.8535825545171339,0.8535825545171339,0.8535825545171339,0.8535825545171339
macro avg,0.8060184525223727,0.7726704085333749,0.78403930540655,642.0
weighted avg,0.8579784566375716,0.8535825545171339,0.853275332798872,642.0
