,precision,recall,f1-score,support
snoRNA,0.5555555555555556,0.5714285714285714,0.5633802816901409,35.0
rRNA,0.8562091503267973,0.9492753623188406,0.9003436426116839,138.0
snRNA,0.7692307692307693,0.45454545454545453,0.5714285714285714,22.0
mRNA,0.9281767955801105,0.9032258064516129,0.9155313351498637,186.0
pre_miRNA,0.6323529411764706,0.86,0.728813559322034,50.0
miRNA,0.4864864864864865,0.34615384615384615,0.4044943820224719,52.0
tRNA,0.9354838709677419,0.9775280898876404,0.956043956043956,89.0
tmRNA,0.9836065573770492,0.8571428571428571,0.916030534351145,70.0
accuracy,0.8364485981308412,0.8364485981308412,0.8364485981308412,0.8364485981308412
macro avg,0.7683877658376226,0.7399124984911029,0.7445082828274834,642.0
weighted avg,0.8351880622728399,0.8364485981308412,0.8310131226988055,642.0
