,precision,recall,f1-score,support
snoRNA,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
rRNA,0.8848920863309353,0.8913043478260869,0.888086642599278,138.0
snRNA,0.631578947368421,0.5454545454545454,0.5853658536585366,22.0
mRNA,0.918918918918919,0.9139784946236559,0.9164420485175202,186.0
pre_miRNA,0.6666666666666666,0.84,0.743362831858407,50.0
miRNA,0.5476190476190477,0.4423076923076923,0.4893617021276596,52.0
tRNA,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
tmRNA,1.0,0.8428571428571429,0.9147286821705426,70.0
accuracy,0.839563862928349,0.839563862928349,0.839563862928349,0.839563862928349
macro avg,0.7647281641263961,0.7616547120730466,0.7592282519552804,642.0
weighted avg,0.84388738163709,0.839563862928349,0.8392884899480089,642.0
