,precision,recall,f1-score,support
snoRNA,0.59375,0.5428571428571428,0.5671641791044776,35.0
rRNA,0.9640287769784173,0.9710144927536232,0.967509025270758,138.0
snRNA,0.5,0.5,0.5,22.0
mRNA,0.9888888888888889,0.956989247311828,0.9726775956284154,186.0
pre_miRNA,0.723404255319149,0.68,0.7010309278350516,50.0
miRNA,0.5238095238095238,0.6346153846153846,0.5739130434782609,52.0
tRNA,0.9166666666666666,0.9887640449438202,0.9513513513513513,89.0
tmRNA,1.0,0.9,0.9473684210526316,70.0
accuracy,0.8722741433021807,0.8722741433021807,0.8722741433021807,0.8722741433021807
macro avg,0.7763185139578307,0.7717800390602249,0.7726268179651183,642.0
weighted avg,0.8781031088687553,0.8722741433021807,0.8740905123667961,642.0
