,precision,recall,f1-score,support
snoRNA,0.5675675675675675,0.6,0.5833333333333333,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.38461538461538464,0.45454545454545453,0.41666666666666663,22.0
mRNA,0.978021978021978,0.956989247311828,0.967391304347826,186.0
pre_miRNA,0.639344262295082,0.78,0.7027027027027027,50.0
miRNA,0.6578947368421053,0.4807692307692308,0.5555555555555556,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,1.0,0.8285714285714286,0.90625,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7614613441623201,0.7593933315648217,0.7561940054732487,642.0
weighted avg,0.8696149823844446,0.8644859813084113,0.8640905251580818,642.0
