,precision,recall,f1-score,support
snoRNA,0.47058823529411764,0.45714285714285713,0.46376811594202894,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.391304347826087,0.4090909090909091,0.4,22.0
mRNA,0.9834254143646409,0.956989247311828,0.9700272479564033,186.0
pre_miRNA,0.5942028985507246,0.82,0.6890756302521008,50.0
miRNA,0.5882352941176471,0.38461538461538464,0.46511627906976744,52.0
tRNA,0.9361702127659575,0.9887640449438202,0.9617486338797814,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8566978193146417,0.8566978193146417,0.8566978193146417,0.8566978193146417
macro avg,0.7377321796752416,0.7359779968994871,0.7312825735679364,642.0
weighted avg,0.8583308767534827,0.8566978193146417,0.8537165526133927,642.0
