,precision,recall,f1-score,support
snoRNA,0.5405405405405406,0.5714285714285714,0.5555555555555556,35.0
rRNA,0.9436619718309859,0.9710144927536232,0.9571428571428571,138.0
snRNA,0.39285714285714285,0.5,0.44,22.0
mRNA,0.9834254143646409,0.956989247311828,0.9700272479564033,186.0
pre_miRNA,0.6610169491525424,0.78,0.7155963302752293,50.0
miRNA,0.6052631578947368,0.4423076923076923,0.5111111111111111,52.0
tRNA,0.9072164948453608,0.9887640449438202,0.9462365591397849,89.0
tmRNA,1.0,0.8571428571428571,0.923076923076923,70.0
accuracy,0.8613707165109035,0.8613707165109035,0.8613707165109035,0.8613707165109035
macro avg,0.7542477089357438,0.758455863236049,0.7523433230322331,642.0
weighted avg,0.8659985279683269,0.8613707165109035,0.8610954198137297,642.0
